start	end	text
0	13680	Good morning. Let's have a little chat at the beginning of the day.
13680	20160	Did you sleep well last night?
20160	27840	Did you eat breakfast?
27840	34000	Is that so? I'm going to eat a pancake from now on.
34000	40080	How's the weather now?
40080	46560	I see. As you can see, the weather is good here.
46560	57760	How have you been studying Japanese lately?
57760	68400	What kind of apps do you use to study Japanese?
68480	77360	Is there any word you've learned recently?
77360	81840	It's amazing that you know such a word.
81840	91920	By the way, what day was it today?
92000	101120	What are you going to do today?
101120	111200	Is that so? I'm going to brush my teeth after I eat breakfast and go to the post office.
111200	117360	By the way, what time is it now?
117440	119760	Is it that time already?
119760	123760	A fun time passes in an instant.
123760	127440	I hope today will be a wonderful day.
127440	136400	See you later.
136400	143600	Good morning. Let's have a little chat at the beginning of the day.
143680	147040	Did you sleep well last night?
147040	150160	Yes, I slept well.
150160	153520	Did you eat breakfast?
153520	157840	Yes, I ate bread and apples.
157840	164160	Is that so? I'm going to eat a pancake from now on.
164160	167280	How's the weather now?
167280	170240	It's raining a little.
170240	172240	That's right.
172240	176640	As you can see here, the weather is good.
176640	180720	How have you been studying Japanese lately?
180720	187760	I study for an hour every day, but it's difficult to remember words.
187760	192400	What kind of apps do you use to study Japanese?
192400	198480	I use YouTube or Netflix to study.
198480	202800	What words have you learned recently?
202800	207360	I learned the word eat-all yesterday.
207360	211760	It's amazing that you know such a word.
211760	217840	By the way, what day was it today?
217840	221920	It's Saturday, February 25th.
221920	225280	What are you going to do today?
225360	231040	I'm going to do homework at school and go to the supermarket with my mother.
231040	241200	Is that so? I'm going to wash the dishes, brush my teeth, and go to the post office after I eat breakfast.
241200	244720	By the way, what time is it now?
244720	247280	It's 820 minutes.
247280	249600	Is it that time already?
249600	253680	A fun time passes in a flash.
253760	257360	I hope you have a wonderful day today.
257360	259360	See you later.
